% of Net Assets,Ticker,Name,SEDOL,Market Price ($),Shares Held,Market Value ($),Date
6.46,DXCM,DEXCOM INC,B0796X4,88.24,"240,184.00","21,193,836.16",8/11/2022
6.25,SWKS,SKYWORKS SOLUTIONS INC,2961053,110.25,"186,064.00","20,513,556.00",8/11/2022
5.97,STM FP,STMICROELECTRONICS NV,5962332,38.28,"512,181.00","19,608,170.81",8/11/2022
5.35,GRMN,GARMIN LTD,B3Z5T14,98.67,"178,077.00","17,570,857.59",8/11/2022
5.19,2395 TT,ADVANTECH CO LTD,6202673,11.35,"1,501,121.00","17,043,951.91",8/11/2022
4.59,ST,SENSATA TECHNOLO,BFMBMT8,45.03,"334,874.00","15,079,376.22",8/11/2022
4.45,ADT,ADT INC,BFWCP81,8.03,"1,817,004.00","14,590,542.12",8/11/2022
3.41,SLAB,SILICON LABORATORIES INC,2568131,143.38,"78,060.00","11,192,242.80",8/11/2022
2.46,ALRM,ALARM.COM HOLDINGS INC,BYN7H26,75.32,"107,072.00","8,064,663.04",8/11/2022
2.23,NOD NO,NORDIC SEMICONDUCTOR ASA,B00ZG06,17.77,"412,402.00","7,329,805.41",8/11/2022
2.19,AMBA,AMBARELLA INC,B7KH3G6,88.61,"81,290.00","7,203,106.90",8/11/2022
2.1,QCOM,QUALCOMM INC,2714923,147.83,"46,622.00","6,892,130.26",8/11/2022
2.06,JCI,JOHNSON CONTROLS,BY7QL61,56.36,"120,073.00","6,767,314.28",8/11/2022
2.06,3529 TT,EMEMORY TECHNOLOGY INC,B2PXYH2,41.08,"164,582.00","6,760,255.80",8/11/2022
2.05,ADI,ANALOG DEVICES INC,2032067,174.55,"38,590.00","6,735,884.50",8/11/2022
2.02,SU FP,SCHNEIDER ELECTRIC SE,4834108,138.67,"47,741.00","6,620,322.41",8/11/2022
2.01,ABBN SW,ABB LTD-REG,7108899,30.71,"215,200.00","6,609,730.65",8/11/2022
2,NXPI,NXP SEMICONDUCTORS NV,B505PN7,180.38,"36,299.00","6,547,613.62",8/11/2022
1.96,BDC,BELDEN INC,B01WL78,68.12,"94,359.00","6,427,735.08",8/11/2022
1.94,HON,HONEYWELL INTL,2020459,198.51,"32,061.00","6,364,429.11",8/11/2022
1.94,EMR,EMERSON ELECTRIC CO,2313405,87.49,"72,610.00","6,352,648.90",8/11/2022
1.88,BMI,BADGER METER INC,2069128,98.77,"62,536.00","6,176,680.72",8/11/2022
1.88,RMBS,RAMBUS INC,2721967,26.25,"235,007.00","6,168,933.75",8/11/2022
1.83,CSCO,CISCO SYSTEMS INC,2198163,45.9,"130,747.00","6,001,287.30",8/11/2022
1.68,IBM,IBM,2005973,132.54,"41,557.00","5,507,964.78",8/11/2022
1.59,AMS SW,AMS-OSRAM AG,BPF0548,8.91,"586,301.00","5,225,712.74",8/11/2022
1.56,ITRI,ITRON INC,2471949,53.32,"96,051.00","5,121,439.32",8/11/2022
1.56,PI,IMPINJ INC,BYYGJZ9,94.52,"54,073.00","5,110,979.96",8/11/2022
1.43,2454 TT,MEDIATEK INC,6372480,22.37,"210,280.00","4,704,878.94",8/11/2022
1.37,GFS,GLOBALFOUNDRIES INC,BMW7F63,58.05,"77,490.00","4,498,294.50",8/11/2022
1.3,ROK,ROCKWELL AUTOMATION INC,2754060,251.8,"16,946.00","4,267,002.80",8/11/2022
1.2,LAND SW,LANDIS+GYR GROUP AG,BF41XY8,63.61,"62,095.00","3,949,937.45",8/11/2022
